"state","gconcept_best","rank","day"
"Oregon","vineyard",3,"Thursday"
"Louisiana","parking garage",3,"Thursday"
"Florida","event management company",3,"Thursday"
"New Hampshire","cell phone store",3,"Thursday"
"Idaho","general contractor",3,"Thursday"
"New Jersey","bus station",3,"Thursday"
"Arizona","historical landmark",3,"Thursday"
"Iowa","state park",3,"Thursday"
"Delaware","clothing store",3,"Thursday"
"Vermont","clothing store",3,"Thursday"
"Indiana","parking garage",3,"Thursday"
"Georgia","garden",3,"Thursday"
"Nebraska","home goods store",3,"Thursday"
"Kansas","cosmetics store",3,"Thursday"
"Missouri","park",3,"Thursday"
"Ohio","consignment shop",3,"Thursday"
"Alabama","cosmetics store",3,"Thursday"
"California","beach",3,"Thursday"
"South Dakota","park",3,"Thursday"
"Virginia","liquor store",3,"Thursday"
"Arkansas","cafe",2,"Thursday"
"Oklahoma","cosmetics store",3,"Thursday"
"District of Columbia","store",3,"Thursday"
"Kentucky","flea market",3,"Thursday"
"Maryland","mens clothing store",3,"Thursday"
"Mississippi","home improvement store",3,"Thursday"
"Washington","seafood market",3,"Thursday"
"West Virginia","mexican restaurant",3,"Thursday"
"Rhode Island","park",3,"Thursday"
"Hawaii","furniture store",3,"Thursday"
"North Dakota","department store",3,"Thursday"
"New York","county government office",3,"Friday"
"Massachusetts","beach",3,"Friday"
"Illinois","hiking area",3,"Friday"
"Oklahoma","place of worship",3,"Friday"
"Connecticut","park",3,"Friday"
"North Carolina","tree farm",3,"Friday"
"Florida","university",3,"Friday"
"New Mexico","gift shop",3,"Friday"
"Louisiana","chicken restaurant",3,"Friday"
"Nevada","gas station",3,"Friday"
"New Jersey","golf course",3,"Friday"
"Utah","bar",3,"Friday"
"Pennsylvania","city hall",3,"Friday"
"West Virginia","restaurant",3,"Friday"
"Tennessee","flea market",3,"Friday"
"Arizona","lodge",3,"Friday"
"South Carolina","condominium complex",3,"Friday"
"Indiana","car wash",3,"Friday"
"New Hampshire","tourist attraction",3,"Friday"
"Delaware","electronics store",3,"Friday"
"Hawaii","historical landmark",3,"Friday"
"California","outlet store",3,"Friday"
"Maine","seafood restaurant",3,"Friday"
"Michigan","farmers market",3,"Friday"
"Oregon","donut shop",3,"Friday"
"Texas","athletic field",3,"Friday"
"Washington","bus company",3,"Friday"
"Georgia","animal shelter",3,"Friday"
"Alabama","rv park",3,"Friday"
"Maryland","mosque",3,"Friday"
"Missouri","golf course",3,"Friday"
"Kansas","barbecue restaurant",3,"Friday"
"Vermont","clothing store",3,"Friday"
"Kentucky","golf course",3,"Friday"
"Arkansas","american restaurant",3,"Friday"
"Virginia","motorcycle dealer",3,"Friday"
"Wisconsin","cheese shop",3,"Friday"
"Minnesota","tree farm",3,"Friday"
"Colorado","airport",2,"Friday"
"Mississippi","supermarket",3,"Friday"
"Idaho","campground",3,"Friday"
"Nebraska","airport",3,"Friday"
"Iowa","park",3,"Friday"
